State,Inlet air - Std Ideal Liq Vol Flow,Inlet air - Pressure,Inlet air - Temperature,compressed air - Temperature,Nitrogen gas - Master Comp Mass Frac (Nitrogen)
Case 2,300,1,26,25,0
Case 3,300,1,27,25,0
Case 4,300,1,28,25,0
Case 5,300,1,29,25,0
Case 6,300,1,30,25,0
Case 7,300,1,31,25,0
Case 8,300,1,32,25,0
Case 9,300,1,33,25,0
Case 10,300,1,34,25,0
Case 11,300,1,35,25,0
Case 12,300,1,36,25,0
Case 13,300,1,37,25,0
Case 14,300,1,38,25,0
Case 15,300,1,39,25,0
Case 16,300,1,40,25,0
Case 17,300,1.1,25,25,0
Case 18,300,1.1,26,25,0
Case 19,300,1.1,27,25,0
Case 20,300,1.1,28,25,0
Case 21,300,1.1,29,25,0
Case 22,300,1.1,30,25,0
Case 23,300,1.1,31,25,0
Case 24,300,1.1,32,25,0
Case 25,300,1.1,33,25,0
Case 26,300,1.1,34,25,0
Case 27,300,1.1,35,25,0
Case 28,300,1.1,36,25,0
Case 29,300,1.1,37,25,0
Case 30,300,1.1,38,25,0
Case 31,300,1.1,39,25,0
Case 32,300,1.1,40,25,0
Case 33,300,1.2,25,25,0
Case 34,300,1.2,26,25,0
Case 35,300,1.2,27,25,0
Case 36,300,1.2,28,25,0
Case 37,300,1.2,29,25,0
Case 38,300,1.2,30,25,0
Case 39,300,1.2,31,25,0
Case 40,300,1.2,32,25,0
Case 41,300,1.2,33,25,0
Case 42,300,1.2,34,25,0
Case 43,300,1.2,35,25,0
Case 44,300,1.2,36,25,0
Case 45,300,1.2,37,25,0
Case 46,300,1.2,38,25,0
Case 47,300,1.2,39,25,0
Case 48,300,1.2,40,25,0
Case 49,300,1.3,25,25,0
Case 50,300,1.3,26,25,0
Case 51,300,1.3,27,25,0
Case 52,300,1.3,28,25,0
Case 53,300,1.3,29,25,0
Case 54,300,1.3,30,25,0
Case 55,300,1.3,31,25,0
Case 56,300,1.3,32,25,0
Case 57,300,1.3,33,25,0
Case 58,300,1.3,34,25,0
Case 59,300,1.3,35,25,0
Case 60,300,1.3,36,25,0
Case 61,300,1.3,37,25,0
Case 62,300,1.3,38,25,0
Case 63,300,1.3,39,25,0
Case 64,300,1.3,40,25,0
Case 65,300,1.4,25,25,0
Case 66,300,1.4,26,25,0
Case 67,300,1.4,27,25,0
Case 68,300,1.4,28,25,0
Case 69,300,1.4,29,25,0
Case 70,300,1.4,30,25,0
Case 71,300,1.4,31,25,0
Case 72,300,1.4,32,25,0
Case 73,300,1.4,33,25,0
Case 74,300,1.4,34,25,0
Case 75,300,1.4,35,25,0
Case 76,300,1.4,36,25,0
Case 77,300,1.4,37,25,0
Case 78,300,1.4,38,25,0
Case 79,300,1.4,39,25,0
Case 80,300,1.4,40,25,0
Case 81,300,1.5,25,25,0
Case 82,300,1.5,26,25,0
Case 83,300,1.5,27,25,0
Case 84,300,1.5,28,25,0
Case 85,300,1.5,29,25,0
Case 86,300,1.5,30,25,0
Case 87,300,1.5,31,25,0
Case 88,300,1.5,32,25,0
Case 89,300,1.5,33,25,0
Case 90,300,1.5,34,25,0
Case 91,300,1.5,35,25,0
Case 92,300,1.5,36,25,0
Case 93,300,1.5,37,25,0
Case 94,300,1.5,38,25,0
Case 95,300,1.5,39,25,0
Case 96,300,1.5,40,25,0
Case 97,310,1,25,25,0.9946
Case 99,310,1,27,25,0
Case 100,310,1,28,25,0
Case 101,310,1,29,25,0
Case 102,310,1,30,25,0
Case 103,310,1,31,25,0
Case 104,310,1,32,25,0
Case 105,310,1,33,25,0
Case 106,310,1,34,25,0
Case 107,310,1,35,25,0
Case 108,310,1,36,25,0
Case 109,310,1,37,25,0
Case 110,310,1,38,25,0
Case 111,310,1,39,25,0
Case 112,310,1,40,25,0
Case 113,310,1.1,25,25,0.9946
Case 115,310,1.1,27,25,0
Case 116,310,1.1,28,25,0
Case 117,310,1.1,29,25,0
Case 118,310,1.1,30,25,0
Case 119,310,1.1,31,25,0
Case 120,310,1.1,32,25,0
Case 121,310,1.1,33,25,0
Case 122,310,1.1,34,25,0
Case 123,310,1.1,35,25,0
Case 124,310,1.1,36,25,0
Case 125,310,1.1,37,25,0
Case 126,310,1.1,38,25,0
Case 127,310,1.1,39,25,0
Case 128,310,1.1,40,25,0
Case 129,310,1.2,25,25,0.9946
Case 131,310,1.2,27,25,0
Case 132,310,1.2,28,25,0
Case 133,310,1.2,29,25,0
Case 134,310,1.2,30,25,0
Case 135,310,1.2,31,25,0
Case 136,310,1.2,32,25,0
Case 137,310,1.2,33,25,0
Case 138,310,1.2,34,25,0
Case 139,310,1.2,35,25,0
Case 140,310,1.2,36,25,0
Case 141,310,1.2,37,25,0
Case 142,310,1.2,38,25,0
Case 143,310,1.2,39,25,0
Case 144,310,1.2,40,25,0
Case 145,310,1.3,25,25,0.9946
Case 147,310,1.3,27,25,0
Case 148,310,1.3,28,25,0
Case 149,310,1.3,29,25,0
Case 150,310,1.3,30,25,0
Case 151,310,1.3,31,25,0
Case 152,310,1.3,32,25,0
Case 153,310,1.3,33,25,0
Case 154,310,1.3,34,25,0
Case 155,310,1.3,35,25,0
Case 156,310,1.3,36,25,0
Case 157,310,1.3,37,25,0
Case 158,310,1.3,38,25,0
Case 159,310,1.3,39,25,0
Case 160,310,1.3,40,25,0
Case 161,310,1.4,25,25,0.9946
Case 163,310,1.4,27,25,0
Case 164,310,1.4,28,25,0
Case 165,310,1.4,29,25,0
Case 166,310,1.4,30,25,0
Case 167,310,1.4,31,25,0
Case 168,310,1.4,32,25,0
Case 169,310,1.4,33,25,0
Case 170,310,1.4,34,25,0
Case 171,310,1.4,35,25,0
Case 172,310,1.4,36,25,0
Case 173,310,1.4,37,25,0
Case 174,310,1.4,38,25,0
Case 175,310,1.4,39,25,0
Case 176,310,1.4,40,25,0
Case 177,310,1.5,25,25,0.9946
Case 179,310,1.5,27,25,0
Case 180,310,1.5,28,25,0
Case 181,310,1.5,29,25,0
Case 182,310,1.5,30,25,0
Case 183,310,1.5,31,25,0
